quartier,annee,population,revenu_median
Croix-Rousse,2018,23131,20237.15
Croix-Rousse,2019,23317,20494.19
Croix-Rousse,2020,23553,21075.93
Croix-Rousse,2021,24059,21301.03
Croix-Rousse,2022,24168,21720.99
Croix-Rousse,2023,24144,22185.46
Croix-Rousse,2024,24395,21978.68
Part-Dieu,2018,17961,24838.32
Part-Dieu,2019,18086,25399.46
Part-Dieu,2020,18365,26070.33
Part-Dieu,2021,18566,25608.58
Part-Dieu,2022,18519,26050.64
Part-Dieu,2023,18537,26141.39
Part-Dieu,2024,19245,27256.39
La Guillotière,2018,13045,25044.67
La Guillotière,2019,13147,25615.89
La Guillotière,2020,13336,25838.44
La Guillotière,2021,13364,26183.31
La Guillotière,2022,13630,26552.87
La Guillotière,2023,13993,27578.7
La Guillotière,2024,13769,26726.8
Vieux Lyon,2018,10626,24231.37
Vieux Lyon,2019,10776,24783.25
Vieux Lyon,2020,10907,25255.62
Vieux Lyon,2021,10940,25709.55
Vieux Lyon,2022,11249,25694.65
Vieux Lyon,2023,11277,26993.12
Vieux Lyon,2024,11393,26686.49
Gerland,2018,11393,24827.25
Gerland,2019,11551,25309.91
Gerland,2020,11672,25399.49
Gerland,2021,11739,26293.74
Gerland,2022,11814,26947.97
Gerland,2023,12241,26359.4
Gerland,2024,11742,26412.14
Bellecour,2018,22468,20980.49
Bellecour,2019,22686,21308.87
Bellecour,2020,23114,21888.95
Bellecour,2021,23161,21916.82
Bellecour,2022,23797,22785.1
Bellecour,2023,24067,22977.52
Bellecour,2024,23343,23813.67
Confluence,2018,23930,22617.0
Confluence,2019,24126,23028.58
Confluence,2020,24227,23378.8
Confluence,2021,24967,23572.88
Confluence,2022,25165,24468.84
Confluence,2023,24530,24161.54
Confluence,2024,24801,25941.83
Monplaisir,2018,21838,21558.77
Monplaisir,2019,22131,21840.21
Monplaisir,2020,22332,22336.92
Monplaisir,2021,22725,23155.09
Monplaisir,2022,23014,23320.12
Monplaisir,2023,22491,22639.99
Monplaisir,2024,23592,22944.23
Mermoz,2018,16121,22885.26
Mermoz,2019,16213,23422.65
Mermoz,2020,16459,23618.09
Mermoz,2021,16635,24540.6
Mermoz,2022,16516,24393.7
Mermoz,2023,16959,24274.15
Mermoz,2024,17318,24535.13
Vaise,2018,17286,25373.31
Vaise,2019,17490,25808.15
Vaise,2020,17721,26588.45
Vaise,2021,17636,26803.76
Vaise,2022,18041,27125.55
Vaise,2023,18368,27353.53
Vaise,2024,18115,26990.14
Saint-Rambert,2018,24173,23872.62
Saint-Rambert,2019,24379,24398.93
Saint-Rambert,2020,24447,24397.25
Saint-Rambert,2021,24832,25286.68
Saint-Rambert,2022,25456,25796.05
Saint-Rambert,2023,25281,26219.31
Saint-Rambert,2024,25546,25871.85
Champvert,2018,18467,18522.23
Champvert,2019,18689,18897.25
Champvert,2020,18845,19341.69
Champvert,2021,18937,19433.08
Champvert,2022,19553,19589.86
Champvert,2023,19304,19581.0
Champvert,2024,19758,20002.32
Jean Macé,2018,17794,25669.84
Jean Macé,2019,18010,25957.43
Jean Macé,2020,18211,26641.97
Jean Macé,2021,18071,27071.41
Jean Macé,2022,18476,26763.92
Jean Macé,2023,18543,27198.37
Jean Macé,2024,18658,29024.21
Gratte-Ciel,2018,19232,23082.43
Gratte-Ciel,2019,19476,23579.88
Gratte-Ciel,2020,19601,23846.82
Gratte-Ciel,2021,19534,23854.89
Gratte-Ciel,2022,20158,24056.02
Gratte-Ciel,2023,19795,24804.44
Gratte-Ciel,2024,19820,24681.55
Charpennes,2018,16796,20478.54
Charpennes,2019,16916,20768.53
Charpennes,2020,17152,21415.04
Charpennes,2021,17223,21606.75
Charpennes,2022,17174,22095.1
Charpennes,2023,17276,22117.78
Charpennes,2024,18031,22537.79
Perrache,2018,18291,18761.14
Perrache,2019,18456,19049.91
Perrache,2020,18507,19248.55
Perrache,2021,19037,19779.88
Perrache,2022,19037,20018.39
Perrache,2023,19356,20401.47
Perrache,2024,19862,20570.45
La Duchère,2018,19132,24144.9
La Duchère,2019,19239,24586.23
La Duchère,2020,19404,25219.83
La Duchère,2021,19440,25758.67
La Duchère,2022,19742,26145.06
La Duchère,2023,20463,25736.33
La Duchère,2024,19714,26196.61
Sans Souci,2018,23896,21136.29
Sans Souci,2019,24218,21517.96
Sans Souci,2020,24388,21929.65
Sans Souci,2021,24403,22688.48
Sans Souci,2022,24703,22387.8
Sans Souci,2023,24499,22340.02
Sans Souci,2024,25667,23349.61
Saxe-Gambetta,2018,21448,22804.07
Saxe-Gambetta,2019,21716,23060.96
Saxe-Gambetta,2020,21715,23479.47
Saxe-Gambetta,2021,21824,23814.67
Saxe-Gambetta,2022,22227,24012.19
Saxe-Gambetta,2023,22578,24598.7
Saxe-Gambetta,2024,22442,25722.75
Brotteaux,2018,21180,21141.2
Brotteaux,2019,21337,21669.18
Brotteaux,2020,21647,21992.13
Brotteaux,2021,21612,22246.26
Brotteaux,2022,21669,23068.52
Brotteaux,2023,22451,23640.27
Brotteaux,2024,22778,23986.05
